Id,Entity type,Created by,Created date,Last changed by,Last changed,Dataset,Show in dataset,Status,Name,Alternative name,Not recommended name,Disambiguation,Other name,Description,Technical description,Sequence number,Code,History,Part of collection,Facility type,Time,Measurement,Activity,Heritage designation,Has part,Is part of,Was part of at time,Had part at time,Events,Same As,Same As (URL),Same as (internal),See also,Owned by,Replaced by,Replaces,Note,Free Note,Internal note,Topic,Semantic Note,Reference,Web reference,Alternative id,Editorial note,History note,Change note,Place holder,Source URI,Source URL,License,Attribution,Attribution URL
5d1517df-22a2-4992-98f7-115c5242aa21,Building facility,dd5fb8ca-f314-4dbe-ae24-12a23bf57195,26/10/2016 14:45:23,d60be37a-1a45-4aa8-819b-4db938095dda,13/08/2022 17:09:17,"Skansens byggnadsmiljˆer (Skansen) [sv]",,"Published","Eksh‰radsgÂrden, Skansen [sv]",,,,,,,,,,,"Museal byggnadsmiljˆ [sv]",,,,,"Eksh‰radsgÂrden, Skansen (Museal byggnad) [sv]",,,,,"http://www.wikidata.org/entity/Q10480765",,,,,,,,,,,,,,"Skansen Primus ObjektId: 42694|Skansen Primus Identifikationsnummer: SKABYG.00611",,,,"No",,,"Public Domain Dedication (CC0)",,
2f48d059-7157-4c81-b004-b5708f48f2c1,Building facility,dd5fb8ca-f314-4dbe-ae24-12a23bf57195,26/10/2016 14:45:19,d60be37a-1a45-4aa8-819b-4db938095dda,11/07/2022 14:47:48,"Skansens byggnadsmiljˆer (Skansen) [sv]",,"Published","F‰boden, Skansen [sv]",,,,,,,,,,,"Museal byggnadsmiljˆ [sv]",,,,,"Eldhuset frÂn Dovsbodarna, F‰boden, Skansen (Museal byggnad) [sv]|Eldhuset frÂn Umsi, F‰boden, Skansen (Museal byggnad) [sv]Hˆladan, F‰boden, Skansen (Museal byggnad) [sv]Hˆladan, F‰boden, Skansen (Museal byggnad) [sv]Hˆladan, F‰boden, Skansen (Museal byggnad) [sv]Hˆladan, F‰boden, Skansen (Museal byggnad) [sv]Kokskjulet, F‰boden, Skansen (Museal byggnad) [sv]Mjˆlkboden frÂn Dovsbodarna, F‰boden, Skansen (Museal byggnad) [sv]",,,,,,"https://www.wikidata.org/wiki/Q60228128",,,,,,,,,,,,,"Skansen Primus ObjektId: 42729|Skansen Primus Identifikationsnummer: SKABYG.00310",,,,"No",,,"Public Domain Dedication (CC0)",,
99518643-9b3f-41a2-9aef-99ab4e534db4,Building facility,dd5fb8ca-f314-4dbe-ae24-12a23bf57195,26/10/2016 14:45:22,d60be37a-1a45-4aa8-819b-4db938095dda,13/08/2022 17:11:17,"Skansens byggnadsmiljˆer (Skansen) [sv]",,"Published","FinngÂrden, Skansen [sv]",,,,,,,,,,,"Museal byggnadsmiljˆ [sv]",,,,,"Kokhuset, FinngÂrden, Skansen (Museal byggnad) [sv]|Logen, FinngÂrden, Skansen (Museal byggnad) [sv]Rian, FinngÂrden, Skansen (Museal byggnad) [sv]Rˆkstugan, FinngÂrden, Skansen (Museal byggnad) [sv]Stolpboden, FinngÂrden, Skansen (Museal byggnad) [sv]",,,,,"http://www.wikidata.org/entity/Q60195569",,,,,,,,,,,,,,"Skansen Primus ObjektId: 42703|Skansen Primus Identifikationsnummer: SKABYG.00604",,,,"No",,,"Public Domain Dedication (CC0)",,
e75d5e78-cf01-4bb7-b6b1-7f70652df222,Building facility,dd5fb8ca-f314-4dbe-ae24-12a23bf57195,26/10/2016 14:45:24,d60be37a-1a45-4aa8-819b-4db938095dda,13/08/2022 17:13:31,"Skansens byggnadsmiljˆer (Skansen) [sv]",,"Published","Folkets Hus, Skansen [sv]",,,,,,,,,,,"Museal byggnadsmiljˆ [sv]",,,,,"Folkets Hus, Skansen (Museal byggnad) [sv]|Uthuset, Folkets hus, Skansen (Museal byggnad) [sv]",,,,,"http://www.wikidata.org/entity/Q26253138",,,,,,,,,,,,,,"Skansen Primus ObjektId: 42715|Skansen Primus Identifikationsnummer: SKABYG.00612",,,,"No",,,"Public Domain Dedication (CC0)",,
90efbadd-4102-4eec-b183-bc4eba5a2e48,Building facility,dd5fb8ca-f314-4dbe-ae24-12a23bf57195,26/10/2016 14:45:26,d60be37a-1a45-4aa8-819b-4db938095dda,12/07/2022 13:42:28,"Skansens byggnadsmiljˆer (Skansen) [sv]",,"Published","Fr‰mmestadskvarnen, Skansen [sv]",,,,,,,,,,,"Museal byggnadsmiljˆ [sv]",,,,,"Fr‰mmestadskvarnen, Skansen (Museal byggnad) [sv]",,,,,"http://www.wikidata.org/entity/Q59639657",,,,,,,,,,,,,,"Skansen Primus ObjektId: 42226|Skansen Primus Identifikationsnummer: SKABYG.00806",,,,"No",,,"Public Domain Dedication (CC0)",,
87550fbd-02de-4e68-a097-ab177af26208,Building facility,dd5fb8ca-f314-4dbe-ae24-12a23bf57195,26/10/2016 14:45:14,d60be37a-1a45-4aa8-819b-4db938095dda,11/07/2022 15:44:22,"Skansens byggnadsmiljˆer (Skansen) [sv]",,"Published","GarverigÂrden, Skansen [sv]",,,,,,,,,,,"Museal byggnadsmiljˆ [sv]",,,,,"Garveriet, Skansen (Museal byggnad) [sv]",,,,,,"https://www.wikidata.org/wiki/Q60220124",,,,,,,,,,,,,"Skansen Primus ObjektId: 42233|Skansen Primus Identifikationsnummer: SKABYG.00109",,,,"No",,,"Public Domain Dedication (CC0)",,
b13c7d5b-11d2-4f3c-ba43-eb3c6a4cee3c,Building facility,dd5fb8ca-f314-4dbe-ae24-12a23bf57195,26/10/2016 14:45:15,d60be37a-1a45-4aa8-819b-4db938095dda,11/07/2022 15:46:26,"Skansens byggnadsmiljˆer (Skansen) [sv]",,"Published","Glashyttan, Skansen [sv]",,,,,,,,,,,"Museal byggnadsmiljˆ [sv]",,,,,"Verkstaden, Glashyttan, Skansen (Museal byggnad) [sv]",,,,,,"https://www.wikidata.org/wiki/Q10680590",,,,,,,,,,,,,"Skansen Primus ObjektId: 42234|Skansen Primus Identifikationsnummer: SKABYG.00115",,,,"No",,,"Public Domain Dedication (CC0)",,
464a5dea-bd0c-44fd-81e2-7034a6ac9958,Building facility,dd5fb8ca-f314-4dbe-ae24-12a23bf57195,26/10/2016 14:45:27,d60be37a-1a45-4aa8-819b-4db938095dda,11/07/2022 15:51:49,"Skansens byggnadsmiljˆer (Skansen) [sv]",,"Published","Glˆmmingekvarnen, Skansen [sv]",,,,,,,,,,,"Museal byggnadsmiljˆ [sv]",,,,,"Glˆmmingekvarnen, Skansen (Museal byggnad) [sv]",,,,,,"https://www.wikidata.org/wiki/Q59644260",,,,,,,,,,,,,"Skansen Primus ObjektId: 42775|Skansen Primus Identifikationsnummer: SKABYG.00811",,,,"No",,,"Public Domain Dedication (CC0)",,
24363c6a-658c-40e3-8ec5-77736cdc3f8c,Building facility,dd5fb8ca-f314-4dbe-ae24-12a23bf57195,26/10/2016 14:45:15,d60be37a-1a45-4aa8-819b-4db938095dda,11/07/2022 15:55:18,"Skansens byggnadsmiljˆer (Skansen) [sv]",,"Published","Gubbhyllemiljˆn, Skansen [sv]",,,,,,,,,,,"Museal byggnadsmiljˆ [sv]",,,,,"Gubbhyllan, Skansen (Museal byggnad) [sv]|K‰gelbanan, Skansen (Museal byggnad) [sv]Kinesiska solparasollet, Skansen (Museal byggnad) [sv]Tr‰dgÂrdspaviljongen, Skansen (Museal byggnad) [sv]",,,,,,"https://www.wikidata.org/wiki/Q10510195",,,,,,,,,,,,,"Skansen Primus ObjektId: 67206|Skansen Primus Identifikationsnummer: SKABYG.00116",,,,"No",,,"Public Domain Dedication (CC0)",,
2e66ed67-ae7b-4e6e-8e77-63c394dea80c,Building facility,dd5fb8ca-f314-4dbe-ae24-12a23bf57195,26/10/2016 14:45:13,d60be37a-1a45-4aa8-819b-4db938095dda,11/07/2022 15:57:15,"Skansens byggnadsmiljˆer (Skansen) [sv]",,"Published","GuldsmedsgÂrden, Skansen [sv]",,,,,,,,,,,"Museal byggnadsmiljˆ [sv]",,,,,"Guldsmedshuset, Skansen (Museal byggnad) [sv]",,,,,,"https://www.wikidata.org/wiki/Q60628234",,,,,,,,,,,,,"Skansen Primus ObjektId: 42779|Skansen Primus Identifikationsnummer: SKABYG.00107",,,,"No",,,"Public Domain Dedication (CC0)",,
