Id;Entity type;Created by;Created date;Last changed by;Last changed;Dataset;Show in dataset;Status;Name;Alternative name;Other name;Not recommended name;Disambiguation;Description;Technical description;Sequence number;Code;History;Part of collection;Building type;Time;Measurement;Activity;Heritage designation;Has part;Is part of;Was part of at time;Had part at time;Events;Same As;Same As (URL);Same as (internal);See also;Owned by;Replaced by;Replaces;Note;Free Note;Internal note;Topic;Semantic Note;Reference;Web reference;Alternative id;Editorial note;History note;Change note;Place holder;Source URI;Source URL;License;Attribution;Attribution URL
8ab844f4-8c83-4e5f-a59f-837dbdfd4631;Building;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:48:31;d60be37a-1a45-4aa8-819b-4db938095dda;11/08/2022 08:53:01;"Skansens byggnader (Skansen) [sv]";;"Published";"Apoteket, Skansen [sv]";"SKABYG.0010502 [sv]";;;;;;;;;;"Museal byggnad [sv]";;;;;"";"Petissans gård, Skansen (Museal byggnadsmiljö) [sv]";;;;"http://www.wikidata.org/entity/Q10416122";;;;;;;;;;;;;;"Skansen Primus ObjektId: 42976|Skansen Primus Identifikationsnummer: SKABYG.0010502";;;;"No";;;"Public Domain Dedication (CC0)";;
7455636c-f30f-4acf-a690-f30f861061b3;Building;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:48:41;d60be37a-1a45-4aa8-819b-4db938095dda;12/08/2022 08:32:23;"Skansens byggnader (Skansen) [sv]";;"Published";"Back-Mats stuga, Moragården, Skansen [sv]";;;;;;;;;;;"Museal byggnad [sv]";;;;;"";"Moragården, Skansen (Museal byggnadsmiljö) [sv]";;;;"http://www.wikidata.org/entity/Q60195546";"https://www.wikidata.org/wiki/Q60195546|https://digitaltmuseum.org/7EF0E69E-2DC5-4735-88FA-D96F5FB14E6E";;;;;;;;;;;;;"Skansen Primus ObjektId: 67276|Skansen Primus Identifikationsnummer: SKABYG.0030503";;;;"No";;;"Public Domain Dedication (CC0)";;
ac2562d2-09cd-43c3-b48b-30baaf722639;Building;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:48:39;7b89c094-da28-4fdb-bcd2-ce0db0df923e;26/09/2017 15:58:52;"Skansens byggnader (Skansen) [sv]";;"Published";"Bagarstugan, Skansen [sv]";;;;;;;;;;;"Museal byggnad [sv]";;;;;;"Bagarstugan, Skansen (Museal byggnadsmiljö) [sv]";;;;;;;;;;;;;;;;;;"Skansen Primus ObjektId: 42217|Skansen Primus Identifikationsnummer: SKABYG.0030201";;;;"No";;;"Public Domain Dedication (CC0)";;
3c43c4e2-cde0-4d20-b64c-706c4e4178d7;Building;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:48:33;d60be37a-1a45-4aa8-819b-4db938095dda;12/08/2022 13:17:58;"Skansens byggnader (Skansen) [sv]";;"Published";"Bageriet, Skansen [sv]";;;;;;;;;;;"Museal byggnad [sv]";;;;;"";"Bagerigården, Skansen (Museal byggnadsmiljö) [sv]";;;;"http://www.wikidata.org/entity/Q10424669";;;;;;;;;;;;;;"Skansen Primus ObjektId: 42227|Skansen Primus Identifikationsnummer: SKABYG.0011101";;;;"No";;;"Public Domain Dedication (CC0)";;
38570ca8-77c0-475c-96b5-3ab3ec4ef3a3;Building;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:48:38;6c9f4972-d510-4e68-a525-18e8a3ff27f0;12/10/2018 15:46:26;"Skansens byggnader (Skansen) [sv]";;"Published";"Bastun, Älvrosgården, Skansen [sv]";;;;;;;;;;;"Museal byggnad [sv]";;;;;;"Älvrosgården, Skansen (Museal byggnadsmiljö) [sv]";;;;;;;;;;;;;;;;;;"Skansen Primus ObjektId: 43074|Skansen Primus Identifikationsnummer: SKABYG.0030106";;;;"No";;;"Public Domain Dedication (CC0)";;
3f36a316-4e44-4eed-b3a5-cf5b62e2e501;Building;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:48:43;6c9f4972-d510-4e68-a525-18e8a3ff27f0;12/10/2018 16:03:39;"Skansens byggnader (Skansen) [sv]";;"Published";"Bergkarlåsloftet, Moragården, Skansen [sv]";;;;;;;;;;;"Museal byggnad [sv]";;;;;;"Moragården, Skansen (Museal byggnadsmiljö) [sv]";;;;;;;;;;;;;;;;;;"Skansen Primus ObjektId: 67278|Skansen Primus Identifikationsnummer: SKABYG.0030505";;;;"No";;;"Public Domain Dedication (CC0)";;
45489cc4-6b6c-410d-9d41-39b92abaf1bc;Building;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:49:07;6c9f4972-d510-4e68-a525-18e8a3ff27f0;25/09/2018 11:21:35;"Skansens byggnader (Skansen) [sv]";;"Published";"Biblioteksflygeln, Skogaholms herrgård, Skansen [sv]";;;;;;;;;;;"Museal byggnad [sv]";;;;;;"Skogaholm, Skansen (Museal byggnadsmiljö) [sv]";;;;;;;;;;;;;;;;;;"Skansen Primus ObjektId: 67333|Skansen Primus Identifikationsnummer: SKABYG.0080803";;;;"No";;;"Public Domain Dedication (CC0)";;
a61fa0de-6fdd-4c55-bce4-9f42026cfecf;Building;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:49:11;7b89c094-da28-4fdb-bcd2-ce0db0df923e;26/09/2017 15:58:52;"Skansens byggnader (Skansen) [sv]";;"Published";"Bobergs observatorium, Skansen [sv]";;;;;;;;;;;"Museal byggnad [sv]";;;;;;"Bobergs observatorium, Skansen (Museal byggnadsmiljö) [sv]";;;;;;;;;;;;;;;;;;"Skansen Primus ObjektId: 42628|Skansen Primus Identifikationsnummer: SKABYG.0090201";;;;"No";;;"Public Domain Dedication (CC0)";;
b9ef4b51-2b5e-4a3a-81f7-3de0bca98877;Building;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:49:08;6c9f4972-d510-4e68-a525-18e8a3ff27f0;10/10/2018 16:19:23;"Skansens byggnader (Skansen) [sv]";;"Published";"Bod nr 1, Marknadsgatan, Skansen [sv]";;;;;;;;;;;"Museal byggnad [sv]";;;;;;"Marknadsgatan, Skansen (Museal byggnadsmiljö) [sv]";;;;;;;;;;;;;;;;;;"Skansen Primus ObjektId: 67256|Skansen Primus Identifikationsnummer: SKABYG.0080901";;;;"No";;;"Public Domain Dedication (CC0)";;
08f49af8-dfc5-439e-8c9b-89ca96a3d3a9;Building;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:49:08;6c9f4972-d510-4e68-a525-18e8a3ff27f0;10/10/2018 16:20:26;"Skansens byggnader (Skansen) [sv]";;"Published";"Bod nr 10, Marknadsgatan, Skansen [sv]";;;;;;;;;;;"Museal byggnad [sv]";;;;;;"Marknadsgatan, Skansen (Museal byggnadsmiljö) [sv]";;;;;;;;;;;;;;;;;;"Skansen Primus ObjektId: 67265|Skansen Primus Identifikationsnummer: SKABYG.0080910";;;;"No";;;"Public Domain Dedication (CC0)";;
